Sr.No,State,Year,Rape,K&A,DD,AoW,AoM,DV,WT,TotalCrimes,K&A_Ratio,DD_Ratio,AoW_Ratio,AoM_Ratio,DV_Ratio,WT_Ratio,Rape_Ratio
44,JHARKHAND,2002,797,178,275,411,3,588,36,2288,1.0,1.0,1.0,1.0,1.0,1.0,1.0
45,KARNATAKA,2002,292,300,233,1648,100,1826,0,4399,1.0,1.0,1.0,1.0,1.0,0.0,1.0
46,KERALA,2002,499,91,17,2123,102,2836,0,5668,1.0,1.0,1.0,1.0,1.0,0.0,1.0
47,MADHYA PRADESH,2002,2891,639,674,7118,783,3117,0,15222,1.0,1.0,1.0,1.0,1.0,0.0,1.0
48,MAHARASHTRA,2002,1352,650,303,2686,769,5353,0,11113,1.0,1.0,1.0,1.0,1.0,0.0,1.0
49,MANIPUR,2002,14,82,0,58,0,10,0,164,1.0,0.0,1.0,0.0,1.0,0.0,1.0
50,MEGHALAYA,2002,38,10,0,23,0,0,0,71,1.0,0.0,1.0,0.0,0.0,0.0,1.0
51,MIZORAM,2002,76,2,0,73,0,3,0,154,1.0,0.0,1.0,0.0,1.0,0.0,1.0
52,NAGALAND,2002,17,4,0,1,0,0,0,22,1.0,0.0,1.0,0.0,0.0,0.0,1.0
53,ODISHA,2002,691,432,248,1605,188,1167,0,4331,1.0,1.0,1.0,1.0,1.0,0.0,1.0
54,PUNJAB,2002,299,354,166,341,145,944,0,2249,1.0,1.0,1.0,1.0,1.0,0.0,1.0
55,RAJASTHAN,2002,1051,2019,399,2730,44,5691,0,11934,1.0,1.0,1.0,1.0,1.0,0.0,1.0
56,SIKKIM,2002,6,2,0,17,0,3,0,28,1.0,0.0,1.0,0.0,1.0,0.0,1.0
57,TAMIL NADU,2002,534,714,243,1877,1718,1052,0,6138,1.0,1.0,1.0,1.0,1.0,0.0,1.0
58,TRIPURA,2002,108,48,16,128,0,236,0,536,1.0,1.0,1.0,0.0,1.0,0.0,1.0
59,UTTAR PRADESH,2002,1415,2298,1893,2145,1887,5679,0,15317,1.0,1.0,1.0,1.0,1.0,0.0,1.0
60,UTTARAKHAND,2002,89,155,66,145,97,316,1,869,1.0,1.0,1.0,1.0,1.0,1.0,1.0
61,WEST BENGAL,2002,759,694,273,964,34,4069,1,6794,1.0,1.0,1.0,1.0,1.0,1.0,1.0
62,A & N ISLANDS,2002,2,1,0,17,3,4,0,27,1.0,0.0,1.0,1.0,1.0,0.0,1.0
63,CHANDIGARH,2002,18,47,1,36,28,56,0,186,1.0,1.0,1.0,1.0,1.0,0.0,1.0
64,D & N HAVELI,2002,4,5,0,3,0,3,0,15,1.0,0.0,1.0,0.0,1.0,0.0,1.0
65,DAMAN & DIU,2002,0,2,0,0,0,3,0,5,1.0,0.0,0.0,0.0,1.0,0.0,0.0
66,LAKSHADWEEP,2002,1,0,0,1,0,0,0,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0
67,PUDUCHERRY,2002,6,6,5,59,26,9,0,111,1.0,1.0,1.0,1.0,1.0,0.0,1.0
68,ANDHRA PRADESH,2003,946,931,466,4128,2286,8167,5,16929,1.0,1.0,1.0,1.0,1.0,1.0,1.0
69,ARUNACHAL PRADESH,2003,31,51,0,43,0,14,0,139,1.0,0.0,1.0,0.0,1.0,0.0,1.0
70,ASSAM,2003,1095,1351,60,878,6,1808,0,5198,1.0,1.0,1.0,1.0,1.0,0.0,1.0
71,BIHAR,2003,985,674,909,688,11,1880,37,5184,1.0,1.0,1.0,1.0,1.0,1.0,1.0
72,CHHATTISGARH,2003,898,149,79,1481,105,601,0,3313,1.0,1.0,1.0,1.0,1.0,0.0,1.0
73,GOA,2003,31,13,2,19,7,24,0,96,1.0,1.0,1.0,1.0,1.0,0.0,1.0
74,GUJARAT,2003,236,859,54,722,92,3684,0,5647,1.0,1.0,1.0,1.0,1.0,0.0,1.0
75,HARYANA,2003,353,271,222,344,1302,1618,0,4110,1.0,1.0,1.0,1.0,1.0,0.0,1.0
76,HIMACHAL PRADESH,2003,126,96,6,250,18,221,0,717,1.0,1.0,1.0,1.0,1.0,0.0,1.0
77,JAMMU & KASHMIR,2003,211,615,10,875,376,71,0,2158,1.0,1.0,1.0,1.0,1.0,0.0,1.0
78,JHARKHAND,2003,712,262,262,424,2,559,0,2221,1.0,1.0,1.0,1.0,1.0,0.0,1.0
79,KARNATAKA,2003,321,244,194,1585,84,1704,0,4132,1.0,1.0,1.0,1.0,1.0,0.0,1.0
80,KERALA,2003,394,102,33,1947,68,2930,0,5474,1.0,1.0,1.0,1.0,1.0,0.0,1.0
81,MADHYA PRADESH,2003,2738,608,648,6848,705,2938,0,14485,1.0,1.0,1.0,1.0,1.0,0.0,1.0
82,MAHARASHTRA,2003,1268,626,368,2661,682,5452,0,11057,1.0,1.0,1.0,1.0,1.0,0.0,1.0
83,MANIPUR,2003,18,71,0,44,0,4,0,137,1.0,0.0,1.0,0.0,1.0,0.0,1.0
84,MEGHALAYA,2003,40,10,0,13,1,4,0,68,1.0,0.0,1.0,1.0,1.0,0.0,1.0
85,MIZORAM,2003,54,2,0,88,0,3,0,147,1.0,0.0,1.0,0.0,1.0,0.0,1.0
86,NAGALAND,2003,14,3,0,4,2,0,1,24,1.0,0.0,1.0,1.0,0.0,1.0,1.0
87,ODISHA,2003,725,373,279,1669,188,1289,0,4523,1.0,1.0,1.0,1.0,1.0,0.0,1.0
88,PUNJAB,2003,380,295,110,346,199,987,0,2317,1.0,1.0,1.0,1.0,1.0,0.0,1.0
89,RAJASTHAN,2003,1050,1750,389,2715,33,5733,1,11671,1.0,1.0,1.0,1.0,1.0,1.0,1.0
90,SIKKIM,2003,10,0,0,25,0,1,0,36,0.0,0.0,1.0,0.0,1.0,0.0,1.0
91,TAMIL NADU,2003,557,632,220,2022,881,1555,1,5868,1.0,1.0,1.0,1.0,1.0,1.0,1.0
92,TRIPURA,2003,114,29,20,127,0,247,0,537,1.0,1.0,1.0,0.0,1.0,0.0,1.0
93,UTTAR PRADESH,2003,911,1499,1322,1098,4970,2626,0,12426,1.0,1.0,1.0,1.0,1.0,0.0,1.0
